ttc_lidar,ttc_camera,detector,descriptor,frame
15.889385,14.691941,AKAZE,AKAZE,9
13.729655,11.777404,AKAZE,AKAZE,10
10.491403,12.577291,AKAZE,AKAZE,11
10.099996,10.812301,AKAZE,AKAZE,12
9.223069,10.332004,AKAZE,AKAZE,13
10.967763,10.099009,AKAZE,AKAZE,14
8.094218,9.574773,AKAZE,AKAZE,15
8.813924,9.772569,AKAZE,AKAZE,16
10.292551,9.30373,AKAZE,AKAZE,17
8.309779,9.025212,AKAZE,AKAZE,18
12.972159,12.379969,AKAZE,SIFT,1
12.264038,14.098325,AKAZE,SIFT,2
13.916132,14.872121,AKAZE,SIFT,3
14.886526,14.224746,AKAZE,SIFT,4
12.187262,17.765895,AKAZE,SIFT,5
7.501993,14.517433,AKAZE,SIFT,6
34.34042,15.436604,AKAZE,SIFT,7
18.787518,14.58932,AKAZE,SIFT,8
15.889385,15.254631,AKAZE,SIFT,9
13.729655,12.596667,AKAZE,SIFT,10
10.491403,12.622328,AKAZE,SIFT,11
10.099996,10.266602,AKAZE,SIFT,12
9.223069,10.341724,AKAZE,SIFT,13
10.967763,10.442031,AKAZE,SIFT,14
8.094218,8.931341,AKAZE,SIFT,15
8.813924,10.081473,AKAZE,SIFT,16
10.292551,9.522862,AKAZE,SIFT,17
8.309779,9.469496,AKAZE,SIFT,18
12.972159,14.145243,SIFT,BRISK,1
12.264038,14.556709,SIFT,BRISK,2
13.916132,15.53965,SIFT,BRISK,3
14.886526,17.273293,SIFT,BRISK,4
12.187262,12.289666,SIFT,BRISK,5
7.501993,12.337792,SIFT,BRISK,6
34.34042,14.434537,SIFT,BRISK,7
18.787518,12.8879,SIFT,BRISK,8
15.889385,13.56996,SIFT,BRISK,9
13.729655,10.671949,SIFT,BRISK,10
10.491403,12.444801,SIFT,BRISK,11
10.099996,10.931009,SIFT,BRISK,12
9.223069,10.000004,SIFT,BRISK,13
10.967763,9.353358,SIFT,BRISK,14
8.094218,9.372087,SIFT,BRISK,15
8.813924,9.431558,SIFT,BRISK,16
10.292551,8.748715,SIFT,BRISK,17
8.309779,8.156202,SIFT,BRISK,18
12.972159,12.481728,SIFT,BRIEF,1
12.264038,12.250958,SIFT,BRIEF,2
